artist,spotify_id
Андрей Губин,63ZkjoVXJt868M1mJNgiNT
Дима Билан,19rplJ3Uh67C1fNAwq7ohw
Caprice,5wc0IxnlWp9pqSduPbyvZh
Андрей Гаврилов,5UQqgiSt6Eh19Zm58qPxPS
Кровосток,0ksNNF08VvPbHDXN06mrYa
Vespero,32VVkKJxzUokpabyVurd7V
Дмитрий Маликов,3oll0YA2yv7xQUaUccPHng
The Air of Hiroshima,5uO6SoYOtLfoq1aKg90yjc
Евгений Королёв,6ESDKrJiM3kkt4Bk8VdGTp
Валерий Сюткин,0VjT9l1JdsBHIUzJ6eMTqS
Тимати,3oLccEy7y6zTe1gCFHxuWr
Teddy Killerz,4xaF2VIGwhWyEMbM6GuLdm
"Кобыла и Трупоглазые Жабы Искали Цезию, Нашли Поздно Утром Свистящего Хна",6cJIw1dV4HLfyettNlZMM9
140 ударов в минуту,32E80v6oonZEp4swHSedWt
Александр Буйнов,21yhHm2pdczfEUyYRhzfid
Георгий Свиридов,2lLeVbtJ3XiJb4zPHUl0yI
Винтаж,1I8yEn0RSxacRvLxd8N56a
Nina Kraviz,1oZmFNkGAT93yD1xX4vTRE
Пропаганда,2fA7oIMUQ7vwHsfHW3Fr8H
Технология,1Yc7wyu2VfROa1hdESfHsi
Ноль,1t3WsOP0u00h6TOqPRZUzX
Даниил Трифонов,1fUhTALoWXPL6PZSkKImY9
The Lust,38tmgxzGiGnIBT28E9SvTm
Самое Большое Простое Число,0DF1d45pNEowrh7UXKvJWJ
Владимир Владимирович Софроницкий,4Zop0zkYmho9A58QPgVlDK
Ploho,7yjnZ3eibFQRN65u1syJZg
KSLV,2ElMqlv5py0QFIVXUff627
Sashko Naganuma,2SlKccd5WLZF4gSBIfqHF2
Владимир Пресняков,71hfS676pfxtjY7PpO9l6P
Михаил Круг,4KplcmUZdFxGJoZm65B3Vo
Владимир Кузьмин,2AOmuzBhAiaCKrKolljUSJ
Irina Mejoueva,0jiQYnVYWkQ76bTIgwVTmq
Звери,0ZTNvi1hBP0RCMVjTJEriJ
Alpha 9,6ckI88Ggj8DPe0TNAAVkjn
Танцы Минус,6xFnKVrOJtiGfcPdsA7qUz
The Korea,0mCYlEPAtc5TSi5fkolVDf
Юрий Морозов,178eHel8pvCdCksXAJ4F2y
Ambidextrous,2urYuv1Xh6ZY1e6pxlDG2p
Света,1kxB5p4yYz5pReyydptkGH
MiatriSs,7s5A0SlNGTXP4EPKIthpaS
Самуил Евгеньевич Фейнберг,4cyQQuF9ZvghSB5CkDKriW
Николай Луганский,2bMfnyPOgNaeK8WNnXNXud
Kalevala,5NssSKjLnCy9pcnc5Uqo2s
Блестящие,3oNIRhMTbqkGQzOhK6Jwhl
Владимир Федосеев,6X77f89mGJaE1wIgXE6SXr
Юлия Савичева,0Y5iFEqyfy3mNg09ZC6b5t
SHINIGAMI TENSHI,0bxtJGTaXfnmliU3lOBKGv
Otto Dix,4xYV3eueFMTN60gezE972y
Валентина Пономарёва,03ccstHbV7gm7V7TjmSIKj
Смоки Мо,6frycbKPhXIybi6TFfum60
Yakui the Maid,7zmtMpvftyeW2mTcZlezAi
Родион Щедрин,5eEBBZgows0I1DOsOl0BP0
Семён Бычков,6qg886AZaBjnfRF5tEs4Ht
Комиссар,79ESPaP6zJhRse6DzRqEhI
Volor Flex,7oEHXAJa8gOL02lg4MLNSY
Дмитрий Китаенко,3Nfbf48vyOcRJmK5dXoPHg
Алёна Свиридова,3pV9bHhJndnpCQZqu8CAb5
Алёна Апина,1JIbTgtRViNMEkODfj9Vxe
Radio Tapok,6qPPZBT7Sgkv8DhM8WWAMM
Дмитрий Хворостовский,5P6p90HYfFxo4GTmHJjeNe
KAVver.,2q2gb01EhPWrMFhPX2h5pa
Дмитрий Алексеев,3xV0zRw8fM1l4OoRWkEAgd
Сергей Пенкин,5gOZqtlQKyaA0GWFgtuNEH
Portwave,5g97nXsHBZDyY6wPKckqLc
Василий Петренко,6H9eOWeGZkU9alBUYqNR7Q
Глюк’oZa,5m6ztlqoj7ZjS1NybWbned
Tesla Boy,0VSi6lAB9txdaW5VEmIx9b
Наталья Сенчукова,3cLEsISlZNZOGqF8PzBy8M
Дмитрий Бортнянский,120rJmJK7OSWyvtEIqG5XX
LaScala,0yiGDGuu4XqXVh0lCFliwB
Жасмин,53y0MozF7RJWH5OQlUBZ9s
Mujuice,5oCq1yafGo6ND2PnmhINPL
Псой Короленко,3I2lyYCpXrcicihX4oMUGa
Gorky Park,1qqNkaZGPRMuPsbyff8zQg
The Dartz,3yKjtksc8qdWmIIdSE3jwf
Сансара,7EnZGw4q2uoK2An7TTDo4Y
Игорь Николаев,2rEEba1d3USlc3fcNHLzKn
Комбинация,5dpwxd7bFEvriaDia1qshM
stephy,4gl6Q72EPxWKBcQ0WEDrKj
Anacondaz,2e7yDxnK4osy7nKhnqrOFM
Стас Михайлов,3u5JLGdFeioXFOYEzJNZri
Катя Лель,3NguMMTDTItRbe2E2PZrJ2
DoppelgängeR,00C8IIHnmASr9ATIfj0vAx
Purple Fog Side,2eVLkO9bBzfM6qVeFIzlpM
Section 1,1eUs3gA8ifp4ovLgmDloXQ
Emin,0sKY9AcBdiGx4FbFbQsXoX
Ариэль,6YxVBv7uBPIVRYPOfzCWRD
Alina Ibragimova,6etYlNivtzkxl1W0826xd2
Beatsole,6Gs2jNsD9XkEYUJZOSx4qk
Jane Air,4KIMKOmTZsho4k5RhRwqD1
Pixelord,0suA3Z4xjq58UB4S7ry8iB
Элджей,0Cm90jv892OeEegB3ELmvN
МЫ,3WGL5CRtgYd8Tm5elcbsdV
Devilgroth,16AdpyGV0zMyrbRDwU6o9Y
Alai Oli,4snI0qikpQST1U1VWAxEY6
Proxy,3KOzW9NF2ZGwYRo0KfID1R
Полина Гагарина,3Pdait6yo2LXvw2CwnagZr
Second to Sun,2Rs3MsF2y8VfkjmOVHkT5N
Маша Распутина,4uyptB9Hp8N6pjqSZJ9dSW
Альянс,0RhwVQewjVG0jHaXtDQaqA
Amatory,3JC5wZYLLWOWavmvGB94ow
Юрий Темирканов,7E4yppLZhjBxHC1pH5JGbu
Александр Ф. Скляр,5niF0k8tDOYmGU0HC7Jek9
Nuage,40aC0ICH8LjuNvZrh30WtD
Антон Батагов,6ygtSGdFH18miXSoJCRFCX
Иванушки International,71u4k2PYUAfp7s5IpNmPVE
7000$,2aRRUy8yfzqf1vby0ndchb
Сладкий сон,24rbXRS84RpMIP8eFcWNDt
Alexander Melnikov,7vk7vgVoYDiZ4Kngc3Jgta
The Brig,4lnwcv2fzQL7Y7bguVBvQ9
IC3PEAK,3luonLzvSOxdU8ytCaEIK8
Imperial Age,7jlDQREUVAlJR20Zug4MIV
Tokee,6WVvmY4D7E7WVdiqwUG4E4
Maxim Emelyanychev,36CgM42AtIA5SEne7Wou7q
ABC Galaxy,3kCRDGhuLHRGyzXRsPy7hm
Егор Крид,2KoLmBXwsgMkfAvoPBlPmb
Hard Rock Sofa,6iBOcuDTJKItKor6YfzZa9
Александр Титов,0i7LEbNYupmNEuVG7GJr7O
Nytt Land,6NQ701XGEJodDZ5lqVtrBp
Алексей Любимов,0604Eow92EXTCLStZOUNlG
Hi-Fi,3QGr3zxw4bdVID2bsKVQTd
Виктория Муллова,1Ru2MsKaiEbw3TPXeEelQq
Artur Tokhtash,3E0ctPFYiPuKK4sGB0NQwu
Matisse & Sadko,2QMCcKIPHnjQaPPgoEst88
iamthemorning,7xmvkKWYKuJGhmQmuoL7CS
FACE,2z20q6EEfm6w6PiIKsgtb3
Григорий Соколов,6ChLWj2mIxKtKa2pNifotH
Вадим Казаченко,5WbkQCaWeVrT7q3zP6BoXC
Nebula Orionis,59eckCEN32YKqbmOsDVUoM
Alex Sipiagin,7q46e1hkWTUN1IWHzYb40p
Эдисон Васильевич Денисов,0ux1mDFGQv3pDI6HC9k2GS
Instasamka,2SeRP5iAIhVec4azKHJzjX
Yefim Bronfman,1LMUcg4F3Uv0qeeJXw56uT
Музыкальный коллектив Петра Налича,73gQgThnHFxVKn4BQB0tVs
Джиган,5W7N6u4EjCEMKj7bDyzPEC
The Hatters,0VXv1jemtXkXJosGDKGG24
Елена Ваенга,5jBEXCI3Rsg9rw6I1UCbmb
Andrey Vinogradov,3FLAsHmd1U0io4Qfd5Bobv
Пионерлагерь Пыльная Радуга,1UNwSduHxa3uFtj2Lx0dEU
Roman Rain,3J4Ps0zs3GzTyJe9DqoHVC
Little Tragedies,4fqbwYDmnJY8qxHdtHs8C4
Omnimar,2QzxBZb43cSo7ifPXE4UjO
Александр Гречанинов,09GUrEAA2sS3kNAtoOc6mW
Gamazda,2jQR12WWMiQByk6Dnt6H4T
Gancher & Ruin,6IzjY421I2xp5UR4dkMDsU
Чичерина,76k6pRQlpEGY5po3s0IcJ8
Sensorica,01h50SsMXyYlhVA0ukTjHm
Melancholy,0R6Vw93S9zmOaR0GwIEhrB
Александр Пушкин,1QyMFmlQPGgyGMd4L2BOuk
Konerytmi,795iKgyl9CFeiQs6A1lwV7
ATL,2n6CVwo43YvjiTgcPxYWrf
Lazar Berman,2XKXuLdjmigGQx286z07ZZ
Елена Темникова,6lPJV4RlngIEnb6OzcwMDL
Вячеслав Добрынин,644NuLQoIj9axTSjlDqcUt
Пневмослон,5ULtLONUGHfJcD7Klnie1c
Самоцветы,0husm2FtGoWXLAFhmkuIHQ
Plazma,0mrEy4GWIBTK6Th7HPL4fm
Колибри,0mIEFkDpcAInh84blFIlqq
Loc-Dog,4y0G11kIVcUrvbJjIeRttg
Барто,4e662cSY7Yj1RRguJ0Zmsq
Subwave,19UDaks6aMVPdEp8qhO4T9
Grenouer,277wcGruz16FCo8ccRUjzi
Анна Нетребко,5moBlpk9BYtujdRW6VLepL
May Wave$,5auClyVdRZ8U6qfqPSONig
Roman Messer,25DnzR3jtrD8StkyyRCvHR
NBSPLV,61TQfpvTjHYQjPrvtJPwVa
Мутант Ъхвлам,2lh2vFaV90tJc5s1xNFbYQ
Василий Синайский,5ieRNtQmVhIhCkQA4ZkK6L
Грай,0rCnaw6G40B5yDq59zhCFC
Lost World Band,3CxK6zFTAzaVxuC39DyaoV
Sound Quelle,5mdTuNl23tON1WlsVbvD18
Жанна Агузарова,1b5zxJ7aRjHr506SljcUyM
Волга,3uCO4B1b9RoMlUxa7tNV0n
